p,boost,half_width,l_adv_km,score,rmse
1.5,8.0,60.0,20.0,-1.4143457210837338,1.4143457210837338
1.5,8.0,60.0,50.0,-1.4400023459477267,1.4400023459477267
1.5,8.0,60.0,100.0,-1.4493074447189471,1.4493074447189471
1.5,8.0,90.0,20.0,-1.412175825593473,1.412175825593473
1.5,8.0,90.0,50.0,-1.4300381005109675,1.4300381005109675
1.5,8.0,90.0,100.0,-1.437988317078438,1.437988317078438
2.0,1.0,30.0,20.0,-1.3449681403183975,1.3449681403183975
2.0,1.0,30.0,50.0,-1.346385779791984,1.346385779791984
2.0,1.0,30.0,100.0,-1.348866387273111,1.348866387273111
2.0,1.0,45.0,20.0,-1.3449681403183975,1.3449681403183975
2.0,1.0,45.0,50.0,-1.346385779791984,1.346385779791984
2.0,1.0,45.0,100.0,-1.348866387273111,1.348866387273111
2.0,1.0,60.0,20.0,-1.3449681403183975,1.3449681403183975
2.0,1.0,60.0,50.0,-1.346385779791984,1.346385779791984
2.0,1.0,60.0,100.0,-1.348866387273111,1.348866387273111
2.0,1.0,90.0,20.0,-1.3449681403183975,1.3449681403183975
2.0,1.0,90.0,50.0,-1.346385779791984,1.346385779791984
2.0,1.0,90.0,100.0,-1.348866387273111,1.348866387273111
2.0,2.0,30.0,20.0,-1.3392050235174113,1.3392050235174113
2.0,2.0,30.0,50.0,-1.342972546385617,1.342972546385617
2.0,2.0,30.0,100.0,-1.3464520313046615,1.3464520313046615
2.0,2.0,45.0,20.0,-1.3373401669223555,1.3373401669223555
2.0,2.0,45.0,50.0,-1.341554589959265,1.341554589959265
2.0,2.0,45.0,100.0,-1.3451596701149264,1.3451596701149264
2.0,2.0,60.0,20.0,-1.3374902346223294,1.3374902346223294
2.0,2.0,60.0,50.0,-1.3418424742120603,1.3418424742120603
2.0,2.0,60.0,100.0,-1.3454555759575988,1.3454555759575988
2.0,2.0,90.0,20.0,-1.3445368908739928,1.3445368908739928
2.0,2.0,90.0,50.0,-1.3480044941724918,1.3480044941724918
2.0,2.0,90.0,100.0,-1.3512846249931567,1.3512846249931567
2.0,3.0,30.0,20.0,-1.34060256684494,1.34060256684494
2.0,3.0,30.0,50.0,-1.347878630640226,1.347878630640226
2.0,3.0,30.0,100.0,-1.3526140644289941,1.3526140644289941
2.0,3.0,45.0,20.0,-1.3403617193980006,1.3403617193980006
2.0,3.0,45.0,50.0,-1.3488824634461767,1.3488824634461767
2.0,3.0,45.0,100.0,-1.3539130109378423,1.3539130109378423
2.0,3.0,60.0,20.0,-1.342793585291234,1.342793585291234
2.0,3.0,60.0,50.0,-1.35157962523025,1.35157962523025
2.0,3.0,60.0,100.0,-1.3565511545347153,1.3565511545347153
2.0,3.0,90.0,20.0,-1.3541932219129416,1.3541932219129416
2.0,3.0,90.0,50.0,-1.3609962665847999,1.3609962665847999
2.0,3.0,90.0,100.0,-1.3652625834970449,1.3652625834970449
2.0,5.0,30.0,20.0,-1.3513435136153678,1.3513435136153678
2.0,5.0,30.0,50.0,-1.3660649949517225,1.3660649949517225
2.0,5.0,30.0,100.0,-1.373265947903637,1.373265947903637
2.0,5.0,45.0,20.0,-1.3575101873587128,1.3575101873587128
2.0,5.0,45.0,50.0,-1.3746360922379794,1.3746360922379794
